Date,Open,High,Low,Close,Adj Close,Volume,Moving Average,Daily Return GOOG,Trends
2022-01-12,141.55450439453125,142.8142547607422,141.11199951171875,141.6479949951172,141.6479949951172,23642000,0.0,0.0,low
2022-01-13,141.8404998779297,143.1855010986328,138.91400146484375,139.13099670410156,139.13099670410156,26566000,0.0,-2.516998291015625,negative
2022-01-14,137.5,141.20050048828125,137.5,139.7864990234375,139.7864990234375,23826000,0.0,0.6555023193359375,low
2022-01-18,136.60000610351562,137.39149475097656,135.61700439453125,136.29049682617188,136.29049682617188,27382000,0.0,-3.496002197265625,negative
2022-01-19,136.93850708007812,138.39950561523438,135.5,135.65199279785156,135.65199279785156,20796000,138.50159606933593,-0.6385040283203125,negative
2022-01-20,136.51400756835938,137.91200256347656,133.14450073242188,133.50650024414062,133.50650024414062,21930000,136.87329711914063,-2.1454925537109375,negative
2022-01-21,133.01199340820312,134.760498046875,130.00100708007812,130.0919952392578,130.0919952392578,41920000,135.06549682617188,-3.4145050048828125,negative
2022-01-24,126.02749633789062,130.77850341796875,124.64195251464844,130.3719940185547,130.3719940185547,55148000,133.1825958251953,0.279998779296875,low
2022-01-25,128.4355010986328,129.3385009765625,126.37799835205078,126.7354965209961,126.7354965209961,36008000,131.27159576416017,-3.6364974975585938,negative
2022-01-26,130.59249877929688,132.8074951171875,127.15350341796875,129.24000549316406,129.24000549316406,39630000,129.98919830322265,2.5045089721679688,low
2022-01-27,131.36099243164062,132.60995483398438,128.94500732421875,129.12100219726562,129.12100219726562,30248000,129.11209869384766,-0.1190032958984375,negative
2022-01-28,130.0,133.37049865722656,128.6945037841797,133.2895050048828,133.2895050048828,30518000,129.75160064697266,4.1685028076171875,moderate
2022-01-31,134.197998046875,135.843505859375,132.2740020751953,135.69850158691406,135.69850158691406,34056000,130.81690216064453,2.40899658203125,low
2022-02-01,137.8350067138672,138.1999969482422,134.56825256347656,137.8784942626953,137.8784942626953,51204000,133.04550170898438,2.17999267578125,low
2022-02-02,151.86349487304688,152.10000610351562,145.5574951171875,148.0364990234375,148.0364990234375,89750000,136.80480041503907,10.158004760742188,high
2022-02-03,145.2949981689453,149.11770629882812,142.2050018310547,142.65049743652344,142.65049743652344,56930000,139.5106994628906,-5.3860015869140625,negative
2022-02-04,143.01699829101562,144.53524780273438,139.8175048828125,143.01600646972656,143.01600646972656,49224000,141.45599975585938,0.365509033203125,low
2022-02-07,143.70899963378906,143.84649658203125,138.69900512695312,138.93800354003906,138.93800354003906,44610000,142.10390014648436,-4.0780029296875,negative
2022-02-08,138.9912567138672,139.83709716796875,136.8730010986328,139.21299743652344,139.21299743652344,34256000,142.37080078125,0.274993896484375,low
2022-02-09,140.84974670410156,142.17550659179688,140.3769989013672,141.4530029296875,141.4530029296875,28628000,141.0541015625,2.2400054931640625,low
2022-02-10,139.5,141.43099975585938,138.0500030517578,138.6024932861328,138.6024932861328,33018000,140.24450073242187,-2.8505096435546875,negative
2022-02-11,138.75,139.2832489013672,133.2884979248047,134.1300048828125,134.1300048828125,38808000,138.46730041503906,-4.4724884033203125,negative
2022-02-14,133.36549377441406,136.16650390625,133.302001953125,135.3000030517578,135.3000030517578,26792000,137.7397003173828,1.1699981689453125,low
2022-02-15,137.47149658203125,137.89999389648438,135.5395050048828,136.42550659179688,136.42550659179688,26578000,137.1822021484375,1.1255035400390625,low
2022-02-16,136.4304962158203,137.9459991455078,134.8236541748047,137.4875030517578,137.4875030517578,25610000,136.38910217285155,1.0619964599609375,low
2022-02-17,136.14999389648438,136.83949279785156,132.20199584960938,132.30850219726562,132.30850219726562,30968000,135.13030395507812,-5.1790008544921875,negative
2022-02-18,133.03750610351562,133.82400512695312,130.3070526123047,130.46749877929688,130.46749877929688,31858000,134.397802734375,-1.84100341796875,negative
2022-02-22,129.98500061035156,131.9007568359375,127.74099731445312,129.40249633789062,129.40249633789062,38906000,133.21830139160156,-1.06500244140625,negative
2022-02-23,131.07850646972656,131.74899291992188,127.50350189208984,127.58499908447266,127.58499908447266,26432000,131.45019989013673,-1.8174972534179688,negative
2022-02-24,125.0,133.03700256347656,124.7645034790039,132.67349243164062,132.67349243164062,43166000,130.48739776611328,5.088493347167969,high
2022-02-25,133.52549743652344,135.38900756835938,131.76499938964844,134.51950073242188,134.51950073242188,26236000,130.92959747314453,1.84600830078125,low
2022-02-28,133.2845001220703,135.6405029296875,132.82525634765625,134.89100646972656,134.89100646972656,29676000,131.81429901123047,0.3715057373046875,low
2022-03-01,134.47999572753906,136.11099243164062,133.3784942626953,134.16799926757812,134.16799926757812,24640000,132.76739959716798,-0.7230072021484375,negative
2022-03-02,134.60824584960938,135.61549377441406,133.4324951171875,134.75149536132812,134.75149536132812,23966000,134.20069885253906,0.58349609375,low
2022-03-03,135.97850036621094,136.71380615234375,133.43099975585938,134.30799865722656,134.30799865722656,19780000,134.52760009765626,-0.4434967041015625,negative
2022-03-04,133.38250732421875,134.19900512695312,130.4084930419922,132.1219940185547,132.1219940185547,24446000,134.0480987548828,-2.186004638671875,negative
2022-03-07,131.9040069580078,131.9040069580078,126.41000366210938,126.4645004272461,126.4645004272461,39178000,132.36279754638673,-5.657493591308594,negative
2022-03-08,126.25050354003906,131.2465057373047,125.86074829101562,127.27850341796875,127.27850341796875,35250000,130.98489837646486,0.8140029907226562,low
2022-03-09,131.39999389648438,134.19850158691406,130.08799743652344,133.86599731445312,133.86599731445312,32258000,130.80779876708985,6.587493896484375,high
2022-03-10,131.46249389648438,133.5384979248047,131.4010009765625,132.6820068359375,132.6820068359375,24266000,130.48260040283202,-1.183990478515625,negative
2022-03-11,133.99949645996094,134.1999969482422,130.29649353027344,130.47549438476562,130.47549438476562,26600000,130.1533004760742,-2.206512451171875,negative
2022-03-14,130.572998046875,131.0260009765625,126.41300201416016,126.74099731445312,126.74099731445312,30254000,130.20859985351564,-3.7344970703125,negative
2022-03-15,127.74150085449219,130.51724243164062,126.56800079345703,129.66050720214844,129.66050720214844,30292000,130.68500061035155,2.9195098876953125,low
2022-03-16,131.0,133.77099609375,129.2010040283203,133.6905059814453,133.6905059814453,32058000,130.64990234375,4.029998779296875,moderate
2022-03-17,133.3209991455078,134.739501953125,132.718994140625,134.60049438476562,134.60049438476562,23994000,131.03359985351562,0.9099884033203125,low
2022-03-18,133.88400268554688,136.9134979248047,132.9320068359375,136.80149841308594,136.80149841308594,45900000,132.29880065917968,2.2010040283203125,low
2022-03-21,136.84750366210938,137.58250427246094,134.6114959716797,136.47850036621094,136.47850036621094,26632000,134.24630126953124,-0.322998046875,negative
2022-03-22,136.5,141.5,136.5,140.27749633789062,140.27749633789062,29776000,136.36969909667968,3.7989959716796875,moderate
2022-03-23,139.1385040283203,140.02499389648438,138.16650390625,138.5034942626953,138.5034942626953,25302000,137.3322967529297,-1.7740020751953125,negative
2022-03-24,139.2725067138672,141.39649963378906,138.03939819335938,141.31199645996094,141.31199645996094,20544000,138.67459716796876,2.808502197265625,low
2022-03-25,141.75399780273438,141.95950317382812,139.69949340820312,141.52149963378906,141.52149963378906,19270000,139.61859741210938,0.209503173828125,low
2022-03-28,140.6844940185547,141.97650146484375,139.82815551757812,141.9499969482422,141.9499969482422,23774000,140.71289672851563,0.428497314453125,low
2022-03-29,143.16050720214844,144.16250610351562,142.48399353027344,143.25,143.25,28678000,141.3073974609375,1.3000030517578125,low
